Company Name,Industry,Country,Description,Category
CARD91,Financial Services,IN,"CARD91 is an Issuance Platform-as-a-Service company. CARD91 offers unparalleled technology infrastructure to banks, SMEs, corporates & fintech, helping them issue payment instruments (PPI, Debit, Credit & Multi-Currency) to their customers, vendors, partners, and employees thereby enabling faster decision making, controlling, and view on transactions.

CARD91s ability to support multiple payment instrument agnostic use cases strengthens its vision of making issuance seamless and faster for the customers. The cutting-edge technology consists of an Issuer Processor (switch), a card management system, a fully configurable program manager layer, and a host of other ancillary products accentuating issuance. The products empower banks and businesses to get simplified, scalable, secure, and faster card issuance and processing services.

CARD91s products cater to glocal requirements and the deep collaboration with card networks like RuPay, Visa, and Mastercard provides an opportunity to scale the products for customers globally.",
Care.Fi,Financial Services,IN,"Care.fi is a new age fintech start up, and is technologically driven to provide smart financing solutions to hospital, doctors and allied suppliers.
Combining our industry expertise and with state of the art platform to drive efficiencies, we are giving seamless experience to the healthcare providers. 
Care.Fi has strong institutional investor backing and the founders have more than 20 years experience to bring about the change that the company envisions.

Products: Supply Chain See through Financing, Invoice Discounting, Receivables Financing, Unsecured Business Loans, Working Capital Loans, Early Salary",
Career Anna,,IN,"Career Anna is an Interest Based Learning Network. 

It allows users to learn and share knowledge through video bites in the language of their own.  

Currently operating in Hindi, Tamil, Telugu and English - Career Anna is today the largest platform when it comes to vernacular video based knowledge repository.",
CAREDOSE,,IN,"CAREDOSE is a medicine adherence venture that enables healthcare entities to manage, track & optimise patient care by providing them with proprietary technology & packaging products. 

The companys mission is to aid healthcare entities optimise and track patient adherence and to ensure that people achieve complete adherence and obtain optimum benefit from their prescribed medication.",
CareerPotli,Education Administration Programs,IN,"The main aim of CareerPotli is to help students choose a field that is in tune with their skills and their job expectations. Thus, with the help of career counseling, most candidates end up choosing the right career and perform their level best, which ultimately helps them succeed.

Career Counseling is a process that will help you to know and understand yourself and the world of work in order to make a career, educational, and life decisions.

A career counselor is an individual trained to aid people with their career choice. Whether the person is new to the working world, or simply desires a change of profession, the career counselor will be able to guide them in the best possible direction

WHAT WE DO:
-Help you figure out who you are and what you want out of your education, your career, and your life.
-Be someone for you to talk to about your thoughts, ideas, feelings, and concerns about your career and educational choices, who will help you sort out, organize, and make sense of your thoughts and feelings.
-Help you identify the factors influencing your career development, and help you assess your interests, abilities, and values.
-Help you locate resources and sources of career information.
-Help you to determine next steps and develop a plan to achieve your goals.

Career development is more than just deciding on a major and what job you want to get when you graduate. It really is a lifelong process, meaning that throughout your life you will change, situations will change, and you will continually have to make career and life decisions.",
CARPL.ai,Hospitals and Health Care,US,"At CARPL.ai, we are building the world's largest network of AI Developers and Healthcare Providers with the vision of integrating AI solutions into the clinical realm globally. CARPL.ai is the world's only end-to-end discovery, exploration, validation and deployment platform for medical imaging AI. 

CARPL.ai provides single window access to all the tools needed to CREATE, TEST, and DEPLOY world-class medical imaging AI solutions that create TRUE CLINICAL IMPACT on Medical Imaging. 

We have one of the most cutting-edge and advanced medical imaging viewers currently available. The CARPL Viewer now supports almost more than 15 different modes of AI integration, annotation (2D and 3D), and many other advanced DICOM features. 

We currently work with 40+ collaborators including academia, start-ups, and industry. Our team includes Imaging Researchers, Engineers, Neuroscientists and Radiology experts working on developing technological solutions to change the way doctors interact with AI and impact millions of patients every day!",
Caroobi,,DE,"Stressfreier Autoservice: das Rundum-Sorglos Paket für dein Auto.
Jeder Schritt der Durchführung ihres Autoservice wird für Sie übernommen. Unsere qualifizierten Berater helfen Ihnen dabei jederzeit kostenlos und unverbindlich ihr Anliegen erfolgreich abzuschließen.",
Cbazaar.com,Retail Apparel and Fashion,IN,"Cbazaar is among the earliest eCommerce companies in India, when eCommerce was largely unheard off, even in the west! Powered by relentless innovation and perseverance of the founders and employees alike, Cbazaar skyrocketed from its humble beginning as ChennaiBazaar, to being among the top online Indian ethnic retailers!

With zealous and talented people across the realms Fashion, Information Technology, Design, Logistics and more coming together, Cbazaar is all revved up to conquer the pinnacle .and stay there too, if not to get better!!

At Cbazaar, there's no work-life balance! Who needs one when work's so full of life!? With recreational activities like Table Tennis and Badminton, skill assessment and developent sessions to garnish your professional caliber, Cbazaar is an absolute delight! Simply put, Cbazaar's a place where everyone works up hard and hardly gets worked-up!

While our fortnightly events to showcase your special skills will take care to pamper your talents, our Awards and Recognition program will take care to pamper and honor your performance!

If you're cool and you know it, then Cbazaar's the place to be! Are you game to be a part of the next big ethnic wear retailer without compromising on fun at work? We'd love to know that you exist, and if things go well, would love to meet you as well!! Do drop in a line at careers@cbazaar.com, and we'll get in touch with you!!",
Centum Learning (part of upGrad),,IN,"Centum Learning a part of upGrad group, is one of the most admired learning solutions companies in India and Africa providing new-age learning solutions to accelerate business and impact livelihood. With over 3,000 learning and development specialists and their domain expertise in 21+ industry verticals, Centum Learning has trained more than 5 million people globally. Its mission is to build a future that is more productive and fulfilling for individuals and organizations. 
 
With an extensive experience of over 17 years in talent development and management space, Centum Learning has provided customized end-to-end learning solutions that have impacted the business of 500+ corporates across India & Africa continent. Through its proprietary Centum 5D training methodology and use of its Learning eXperience Platform (LXP)- Centum LearnPro®, Centum is providing 360-degree learning solutions right from entry-level to mid-level. Centum specializes in providing custom training solutions  sales & service excellence trainings, soft skills trainings, mid-level leadership trainings, e-content development services, digital learning platforms, CSR implementation solutions, skill development trainings with a direct and measurable impact for individuals, corporates & society at large.
 
Centum has been certified with ISO 9001:2015 and 27001:2013, ensuring high standards of quality and security. It has been recognized across various respectable forums, such as the 2022 Brandon Hall Gold Award for 'Best program in Sales Training and Performance' and 'Best Use of a Blended Learning Program.' The company has also been featured in the 2021 Training Outsourcing Watch List Companies worldwide and was ranked in the top 11 among India's Great Places to Work® in 2019.",
Chase,Financial Services,US,"Our mission is to create engaged, lifelong experiences. We serve nearly half of Americas households with a broad range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing.

For customer service, contact us via chase.com/customerservice.

See full social media terms and conditions at chase.com/socialterms.

JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran.",
CherryTin - Corporate Gifting & Wedding Services,,IN,"To the corporate gifter of discerning taste, we present CherryTin, an online store defined by exceptional product quality, beautiful packaging and unparalleled customer service. Our single-minded focus is to deliver a top class gifting experience to our clients as well as those they gift to.  Some of our clients include Mahindra CIE, HDFC Bank, Godrej, Ashok Leyland, ForeverMark, Naturals and MIOT Hospitals.

The CherryTin promise is to
·        Tasteful personalisation to echo your brand values
·        Unparalleled product quality
·        Beautiful packaging that promises creativity and customisations 
·        End-to-end service with complete logistic management",
Chirrup,Computer Games,IN,"Chirrup is a video-integrated social gaming platform. Our vision is to enable banter with people that you care about.

Chirrup is where friends & family come together to engage in a relaxed & laid-back manner.",
Chronicle,,US,"Chronicle is a presentation format for modern teams. We are changing the way people craft and tell compelling stories every day. Chronicle will enable teams to communicate, capture thoughts, ideas and decisions without spending hours designing slides. Chronicle is not trying to make presentation software that makes slides better or faster, but rather trying to reimagine the format completely. 

Remember the last time you were making a presentation and it took hours? We are solving a problem that has plagued workplaces since the '80s: presentations! We are asking the question - what would be the ideal format of communication in context of 2023 if slides didn't exist?",
Cians Analytics,,US,"Cians Analytics provides high-quality, cost-effective research and analytical support for investment banks, private equity funds, corporates and portfolio companies around the globe. Utilizing Cians allows clients to shift labor-intensive tasks to a flexible pool of talent, so that their in-house teams can focus on strategic initiatives and increase their capacity to take on more projects.

Our team has pooled together a very strong set of individuals in their respective fields, recruited primarily from the top universities and professional services institutions globally. This high-quality workforce, coupled with an industry leading employee retention rate, ensures the delivery of quality research, analysis, and insights for our clients. Our professionals have functional and high-caliber expertise in investment banking, investment research, equity research, and general business research and analytics.

Our value proposition lies in the flexibility of our engagement model, allowing clients to have total control while ultimately lowering costs. We believe market intelligence, diligence and execution dont have to be prohibitively expensive.",
CIEL HR,Human Resources Services,IN,"CIEL Group is a holistic talent solutions provider, one destination for all HR needs. We have been a reliable partner to clients of all sectors and sizes, in their growth journey. CIEL is led by the most experienced and talented workforce spread across 77 offices at 47 locations in India. CIEL Group includes brands like CIEL HR - Indias largest recruitment and staffing company in terms of geo-spread, Jombay - Indias largest Talent Assessment and Development platform, Integrum offering HfactoR, a unified HR Tech platform to manage end-to-end employee lifecycle in organisations, CIEL Technologies that offers Managed Services to optimise IT programmes, CIEL Skills and Careers that engages with various Government agencies as well as the CSR wings of corporates to mobilise students, train them Job Ready and place them in meaningful jobs, Ma Foi Strategy that offers consulting services in the entire spectrum of HR, Growth, Payroll and Compliance areas. 

CIEL HR is Indias fastest growing HR services company (CAGR of 136% over the last 7 years), servicing ~400 companies across industry sectors for their Temporary staffing needs and 2600+ companies to find the right talent for their Permanent positions. It finds talent for companies in the industry sectors of Manufacturing, Energy, Infrastructure, IT & Outsourcing, Pharma, Financial Services, Consumer Products and Services. Over the last 8 years, CIEL has recruited 1,50,000+ people across levels and functions.",
Circle Internet,,IN,"Circle app provides locally relevant news and information to the Indian language internet users from tier-2 & 3 cities. Traditionally this demand has been met by local newspapers and TV channels, but there are no good products available online which can fulfill this need. Currently, we are live in 144 districts in 4 states of Uttar Pradesh, Rajasthan, Kerala, and Haryana and in 2 languages Hindi & Malayalam. We have more than 40 lakhs downloads on Playstore and growing fast.
We have a strong team of people with multiple years of experience in building startups and are backed by top tier VC's of India.",
Citizengage,Non-profit Organization Management,IN,"Citizengage builds technology for waste peoples to self-manage their mental behaviour, starting with waste in Bangalore. Our products and services connect residential and commercial waste generators to their trash collectors and dump while giving materials vendors the chance to source and price high for each pick up based on quantity.",
Cityflo,Consumer Services,IN,"Cityflo is a daily commute company helping professionals in Thane, Mumbai and Hyderabad travel to work. With spectacular Benz buses, a simple app and smart route design, we offer a comfortable and relaxing experience that lets you make the most of your commute time.",
CITYFURNISH,"Technology, Information and Internet",IN,"CityFurnish.com is India's fastest growing rental brand providing Home Furniture and Appliances on easy and affordable rentals.

- Furniture Packages across three categories - Bed Room , Dining Room and Living Room.
- Flexible Rental Contract with Easy Payments.
- Expert Delivery and Installation free of cost.
- Elegant and Expertly designed furniture.

Feel free to contact us and visit our website.",
Civilsdaily,E-Learning Providers,IN,"Civilsdaily is an E-learning platform that focuses on providing robust coverage of current affairs under one roof. Furthermore, we are reinventing the guidance available for UPSC CSE and providing One on One mentorship to the aspirants, solving problems by DDS, and personalizing the schedules to achieve better results. 

Experience proactive mentorship and handholding like nowhere else, connect with us!",
ClaimTherapist,Hospitals and Health Care,IN,"Indias first independent insurance service platform, that aims to create an ecosystem to facilitate seamless mediclaim journey of every patient.

We are in the business of enabling people to derive maximum mediclaim benefits from hospitals and corporates by supporting them through their healthcare journey.

We aim at developing hospital and corporate networks to ensure best customer service w.r.t providing our customers aid in hospital selection and mediclaim processing.",
Clappia | No Code Platform,Software Development,IN,"All businesses want to use the power of IT apps for their processes. However, all businesses are unique and procuring custom business apps for their unique needs is difficult, expensive or time-consuming.

Clappia provides a cloud workplace where a suite of custom apps can be created and customized within a few minutes by any business user with no coding skills.",
Clarity,,IN,"Clarity is an online emotional support platform where you can talk to listeners when you're feeling low or lonely!

We guarantee to make you feel better ️",
Claro Energy,Services for Renewable Energy,IN,"Claro Energy operates in high power deficit, diesel dependent, agrarian & poor economic regions of India. We use solar energy for developing mass irrigation solutions & generate power at point of use.

According to the United Nations 2014 report, ""Even if  the UN Millennium Development Goal of halving the population without access to drinking water and sanitation by 2015 is achieved, 244 million people in rural India will still remain without access to sustainable water supply""

Innovative thinking can result not only in preventing the crisis, but also in enhancing economic development and improving living standards at large. At Claro, we believe that  an improvement in water productivity and food security can be done through revitalizing irrigation technology, practices and institutions.",
Clean Slate Technologies,IT Services and IT Consulting,IN,"Clean Slate helps factories and warehouses improve inventory accuracy, optimize MHE fleet and improve workforce productivity thereby helping them improve throughput, save costs and improve safety. 

Our multi-sensor hardware tags (Kreto), proprietary indoor tracking software engines (inLocate 1.0, 4.0 and 6,0) and a customizable intelligence platform enable live location visibility, process monitoring, deviation alerts and data driven insights for continuous process improvement. Our robust Kreto sensor tags and reliable indoor tracking engine inLocate enables indoor tracking with precision levels up to 30cm.

Professionals in functions such as warehousing, logistics, producion, security, administration and marketing across industries have deployed Kreto and inLocate to improve throughput, compress order-to-cash cycles, boost productivity, increase efficiency, cut costs and delight customers.

Our flexible cloud-based SaaS services are designed to be cost effective for small and medium enterprises while legacy system integrable on-premise solution deployments ensure utmost security for large enterprises. We closely work with global partners such as System Integrators and Industry Consultants to co-develop solutions to help organizations by leveraging synergies. Our primary goal is to be a partner with enterprises of all sizes in their digital transformation journey.

Our team comprises of computer science and engineering professionals with strong academic backgrounds and extensive experience in Software Engineering, Geo-information Satellite Systems, Machine Learning and MEMS Sensors. 

Reach out to siddharth@cleanslatetechnologies.com.",
Cliff.ai,,US,"Cliff.ai is now part of Quantive. 
Quantive is the worlds leading Strategy Execution Platform based on the OKR management methodology. By embedding strategic context, priorities, and progress into the day-to-day, Quantive creates organizations that excel at execution. With over 2,000 global customers across enterprises, not-for-profits, startups, and governments, Quantive helps today's businesses accelerate growth and transformational change by creating better visibility and organizational alignment.",
ClinchPad,Software Development,IN,"ClinchPad is a deal focused CRM that enables you to close deals faster. 

It is a simple to use, web based application built for small teams who are looking to transition from a cluster of spreadsheets to a more organized way of tracking leads.

ClinchPad differentiates itself from other CRM's in terms of ease of use and intuitive UI. It has been designed with a vision that users spend time using the application rather than learning how to use it. It has all the features required to make your team more efficient and allows you to track your leads, collaborate with your team members, track performance , filter leads, store and view lead details, retrieve useful lead insights etc.

ClinchPad is completely FREE to use for the first 100 leads and has very affordable pay per month plans with absolutely NO commitment (user can cancel anytime).",
Clinikk,,IN,"Clinikk is a different kind of healthcare company. Our mission is to transform healthcare in India by delivering high-quality care that is easy to access. We do this by offering in-person primary care services in our modern clinics along with a low-cost membership that pays for doctors, treatments and hospitalizations all in one.",
Clix Capital,Financial Services,IN,"Hi! Were Clix Capital and its great to see you here.

We started out in 2016 by acquiring the commercial lending and leasing business of GE Capital in India. Ever since, weve set out on this exciting journey of creating products that meet everyones finance needs, whether for business or personal purposes.

Were constantly working towards changing the way the lending business works  using technology & insightful innovation to make loans simpler, faster, easier and relevant for our consumers. With our digital processes and smart ways to evaluate loan applications, we make sure that they have a great experience. Getting a loan from us is actually a matter of few Clix!",
Clodura.AI,,US,"Clodura.AI is the most comprehensive lead generation platform.

Our platform help sales professionals find decision-makers, gather actionable sales intelligence, automate outreach campaigns, and create a 10X sales pipeline. Our best-in-class technology with unrivaled data coverage, accuracy, and depth of contact helps SDRs in achieving their revenue targets. 

Clodura.AI gives you global coverage of the B2B database. Our reliable and verified database includes 600M+ contacts, 18M+ companies, and 120M+ direct dials with 95% accuracy. SDRs can do hyper-targeted prospecting using our most advanced & granular search filters & parameters. We offer you the best-in-class firmographic, technographic, and intent data to identify your Total Addressable Market (TAM) and expand your sales outreach.  

Use the most accurate data & sales insights needed to identify the low-hanging sales opportunities and engage with potential buyers within your Total Addressable Market. Clodura.AI provides you with actionable intelligence on opportunities that are more likely to close and also gives you the context to craft the perfect sales pitch to the right prospect and create a deeper customer engagement.

Clodura.AIs killer email cadence features help sales professionals generate more interactions and book more meetings. It eliminates hours of manual effort spent every day on creating & sending sales outreach emails and follow-ups. SDRs can now automate their sales outreach by setting timed email cadence and connecting with maximum prospects.

Clodura.AI has a hybrid work model with some employees fully remote and others working remotely and coming into the office a few times a week.

Start your free trial at https://bit.ly/3Y1Gi9y. 

To learn more about Clodura.AI, visit the website https://bit.ly/3Q5QJY2.

#salesintelligence #salesdata #salesprospecting #salesengagement #salestech #clodura #leadgeneration #b2bsales",
CloudBloom,IT Services and IT Consulting,IN,"Cloudbloom is a technology consulting company which coalesces design, strategy and technology to build solutions that enable enterprises and businesses to navigate swiftly through the digital next. Cloudbloom brings a unique value proposition to the market by enabling multiple industries across various functions through its platform first approach for solutions.",
CloudNuro.AI,IT System Operations and Maintenance,US,"CloudNuro.AI is a next-generation SaaS company focused on bringing artificial intelligence and machine learning to SaaS operations and management, optimizing SaaS spend, improving security and compliance, developing SaaS insight, and maximizing ROI for SaaS investment.


CloudNuro offers a central point from where, apart from discovering the growing stack of SaaS applications, software administrators can manage application access for users/teams, licensing and spending, IT workflows, integration, data and access security, SaaS related process automation and policy compliance. 
CloudNuro is used by companies to realize the following benefits: 

1. Discover their growing SaaS application stack for greater control and visibility over their SaaS portfolios
2. Track utilization, manage costs and eliminate wastage in the form of unused user license for SaaS applications.
3. Automate provisioning and de-provisioning of users for added security and process compliance
4. Centrally manage SaaS licenses and renewals 
5. Uncover ""Shadow IT"" Applications (Use of SaaS systems/services without explicit IT department approval)
6. Ensure transparency and accountability of SaaS application usage across all employees

We've partnered with Google (GCP) to provide enterprise-grade cloud solutions and Cloud Security Alliance (CSA) to help ensure to bring the best practices for a secure cloud computing environment for all our customers.",
Cloudwick,IT Services and IT Consulting,US,"Cloudwick is an AWS certified Advanced Consulting Partner that specializes in building native data lakes that power faster, cheaper and more agile cloud analytics for IT, business users and data scientists.

Whether you need to migrate your analytics to the cloud, add decision automation to your business intelligence, improve customer experience with machine learning or want to build or buy a data lake Cloudwick has a complete portfolio of services and solutions.

Featured Services

Data Lake Analytics
Hadoop Migration
Data Lake Staffing
Amorphic Data Lake",
Cluzters.ai,IT Services and IT Consulting,IN,"Cluzters.ai is a Deep-Tech A.I Platform based on the principle of Network Effect. It enables Data Scientists, Corporates and Startups to join hands for sourcing, building, deploying and monetizing domain specific Machine Learning models. Our vision is to create world's first domain specific ML model market place to democratize AI for startups/enterprises irrespective of their scale/industry.

Platform empower Participants with Domain and Tech knowledge, so that they can build quality domain specific A.I solutions through focused groups- Cluzters. Members can collaborate and network by participating in discussions, sharing code, articles, research papers, videos, events, Jobs, etc. through them. https://www.cluzters.ai/Cluzters",
CodeIgnition,,IN,"We are a lean & agile start-up that loves helping new & emerging start-ups to Build, Deploy, Automate & Scale business critical solutions. We are CodeIgnition - the DevOps people.

Programmers at heart, we put our heads together to solve any business problem using code. 

Any product or service  big or small, developed or imagined  needs a Strong, Scalable & Evolving technology backbone to succeed.

This belief is our backbone.

With DevOps, Cloud & Continuous Delivery, our vision is to translate this belief in real world terms for every client we partner with.

We know DevOps in & out. When it comes to Infrastructure & Apps we can manage:
	Configuration
	Automation
	Auto-scaling
	Backup & Disaster Recovery
	Monitoring & Alerting
	Operations & Management
	Web Services & Apps
	Mobile Apps

Our toolkit is expansive. We love to experiment with Chef, Puppet, Ansible, Docker, Azure, Nagios & more for a smarter infrastructure that scales automatically.
As Rails & Node.js developers we love to play with Ruby, Go, Jenkins, Python, JavaScript, Java & related frameworks, and we are very flexible in adopting to our clients' stack & choices.

We love talking & listening. So whatever your reasons, write to us at hi@codeignition.co and we'll get back. And if you're in our neighborhood, drop in to say hi.",
CogniAble,Mental Health Care,IN,"CogniABle is a Machine learning-driven assistive technology for early detection and affordable treatment of Autism Spectrum Disorder. Founded by researchers and Scientists from IIT-Delhi, pediatricians, Psychologists and BCBA's from India and USA, CogniAble brings affordability, accessibility and high-quality management on Autism condition on your fingertips.
It is an organization that is driven by artificial intelligence which helps in early detection and treatment of autism. The staff will assess the child and prepare an individualised education plan. A child-specific education plan is made which gives you a specific plan to advance on your childs skills.
Regular training sessions are held and regular updates are taken into consideration.",
Cognida.ai,Software Development,US,"We help enterprises in their journey from Data to Decision Intelligence.

Combining Human Cognition with Machine Data. Using Augmented Analytics powered by Machine Learning.

Extracting deep insights from your organization data repositories.

Decision Intelligence solutions designed for specific Industry verticals.",
CogniSaaS,Software Development,IN,"Our mission is to help enterprise software companies achieve data-driven customer centricity at org level.

CogniSaaS is a Customer-Centric Onboarding and Implementation Platform to Collaborate with customers, internal stakeholders and deliver faster time-to-value.",
CoinTribe Technologies,Financial Services,IN,"Credit | Finance | Lending

CoinTribe is an Online lending marketplace that enables Micro & Small Enterprises and individual borrowers to apply for a loan & get an offer with a custom quote in minutes. We connect you to potential lenders (Banks and NBFCs) and simplify the entire loan application till you get the money into your account.

For banks & NBFCs, CoinTribe plays a pivotal role in borrower acquisition, providing inputs for risk assessment, transaction fulfilment, repayment management & borrower servicing to enable them to come online and expand their reach.

CoinTribe also works with some of the leading banks to provide them white-labelled solutions so that they can provide faster loan approvals and disbursals to their customers.",
CollegeSearch,Higher Education,IN,"CollegeSearch is a vertical search engine for students. It attempts to aggregate information about the 30,000+ colleges in India and allows users to find colleges that match their chosen criteria. The website currently offers information about 13000+ colleges, with a strong customer base spread across the country.

CollegeSearch is the fastest growing educational website in India with over 5 lakh college searches every month. The venture is incubated by the Indian Angel Network and supported by the Department of Science & Technology.",
Digii (formerly CollPoll),IT Services and IT Consulting,IN,"World-class Enterprise Technology for Higher Education

Our Mission is to Empower Educational Institutions with Comprehensive, Secure, Reliable and Simple-to-use Technology that connects all its stakeholders and provides the means & motivation for effective and efficient learning.",
Comat Technologies Pvt Ltd,Government Relations,IN,"Comat is committed to empowering rural citizens by creating local
economies and enabling access to information and services.
Comat provides easy access to essential information and transformational services to people in rural India. Working closely with rural communities in the country, we recognize and deliver their needs through a well-established network of Rural Business Centers.

Our Services are focused on revolutionizing the lives of rural citizens by providing access and delivery of citizen records and entitlement benefits on behalf of the government; employability training and job creation; supplemental educational services and access to formal financial and insurance services.",
Concentric AI,,US,"Ask any CIO about corporate data and theyll happily share all the work theyve done to make their databases secure and compliant. Ask them about other sensitive information, like contracts, financial documents, and source code, and youll probably get a much less confident response. Few organizations have any insight into business-critical information stored in unstructured data.

There was a time when that didnt matter. Those days are gone. Data is now accessible, copious, and dispersed, and it includes an alarming amount of business-critical information. Its a target for both cybercriminals and regulators but securing it is incredibly difficult. Its the data challenge of our generation.

Existing approaches arent doing the job. Keyword searches produce a bewildering array of possibly relevant documents that may or may not be business critical. Asking users to categorize documents requires extensive training and constant vigilance to make sure users are doing their part. Whats needed is an autonomous solution that can find and assess risk so you can secure your unstructured data wherever it lives.

Thats our mission. Concentrics semantic intelligence solution reveals the meaning in your structured and unstructured data so you can fight off data loss and meet compliance and privacy mandates.",
Connaizen (acquired by Paytm),Software Development,IN,"Connaizen®  was started with the aim to make sense of the terabytes of data produced every single day. If you have customer data (structured or unstructured), Connaizen's Next Best Action engine has the answer to what your customers are looking for. 

By push or pull, Connaizen helps clients to acquire, retain and service customers quickly, reliably and cost-effectively by accelerating the deployment of transformative customer experiences, thereby creating growth, profitability, and a competitive advantage.

Connaizen's proven, secure and scalable Next Best Action solutions can be deployed in:
 Banking 
 Insurance
 Retail
 Mutual Funds

If your industry is not listed here, reach out to us and we may surprise you.

Connaizen has its main offices in Singapore and India.",
connect2-group,Building Materials,IN,,
Contree Foundation,Civic and Social Organizations,IN,"CONTREE aims and endeavours to bridge the gap between the two India, Privileged and Underprivileged. Our modus operandi is to facilitate short duration fun-filled engagement among privileged and underprivileged Indians. The privileged ones actively and directly contribute their time, skill, resources and efforts through curated development projects benefitting underprivileged Indians. Such small local efforts by numerous individuals collectively result in a considerable improvement in the lives of beneficiaries. In return, privileged ones become more sensitive and responsible citizens and local changemakers.",
Convertcart,,IN,"Convertcart helps online businesses deliver outstanding experiences to customers throughout their journeybuild lasting relations with themand drive more revenue.

500+ brands across 35 countries, including Everlast, USA Hockey, American Heart Association use Convertcart to boost traffic-to-sales conversion ratewithout having to break the bank.

WHY BUSINESS OWNERS AND MARKETERS LOVE US

Custom-made for you: Unlike regular SaaS, we dont deliver a one-size-for-all product. We talk to you and customize our software to suit your needs. Say goodbye to software handouts!

Driving real outcomes: We actively consult businesses and ensure that they see real results: higher conversion rates, improved customer retention, and lower cost of acquisition.

Keeping it simple: We combine 16 tools that address the entire shopper journeyinto a single ecosystem. You no longer have to handle multiple apps and dashboards to run the show. 

TOP CAPABILITIES

Product recommendations, Reviews, Intelligent search, Personalized emails, Social proof, AB/Testing, deep analytics, and more.",
Convin,Software Development,IN,"Convin is a Contact Center software that leverages AI to improve customer interactions. By utilizing conversation intelligence, companies with high volume calls can automate 100% call QA, uncover business-driving behaviors & actions, and auto-create personalized coaching instances. Moreover, we aim to eliminate human dependency and proactively address all call center challenges.

Convin is a Bengaluru-based company founded by four IIT Delhi alumni distressed by the lack of use of client conversation data. Our company has since helped global companies across verticals improve contact center processes with its platform capabilities. We recently secured seed funding led by Kalaari Capitals and backed by several renowned investors. For more information, visit www.convin.ai.",
Convosight,"Technology, Information and Internet",IN,"Convosight is on a mission to enable community creators generate sustainable income from their communities.

Building a first of its kind community management platform for community builders who are looking to build, grow, engage and monetize their online communities.

Launched initially for Facebook Groups, over 100,000+ Facebook Groups trust Convosight to manage more than 700M+ members today.

Our solutions include:

1. Collaborating with leading global brands to create, design and execute innovative community marketing campaigns, which helps brand to connect, engage and activate their target audiences in communities.

2. Building brand communities on Facebook, creating a co-owned shared space with their target consumers. The group is your brand's online gathering place where you can get to know your customers, spark conversation, ask questions, host events, organize fun challenges and engaging activities, create positive sentiment and nurture ambassadors.",
Cora Health,Wellness and Fitness Services,IN,Social commerce marketplace for everyday health and wellness. We help customers discover products suited to their health needs through guidance and recommendations from a trusted online community,
CORD.ai,,IN,"We are an open research and development platform, which lets folks from any academic background join, collaborate and work on independent research. Our platform also helps folks all over the world to connect, learn and collaborate on a single platform. We are solely focused on coming up with new AI research ideas and publishing significant papers. Our mentors on our platform also helps folks to learn how to get started with research and development. We are also looking forward to take sessions based on different areas of AI. So if you are interested in getting your hands dirty on AI R&D  and project development, do follow our page and join our community.",
Corizo,E-Learning Providers,IN,"Corizo is an edtech platform that helps students with internships, professional training programs, career guidance, and mentorship. Our aim is to bridge the gap between formal education and the ever changing requirements of the industry.

At Corizo, we believe everyone should have the opportunity to create progress through technology and develop the skills of tomorrow. With assessments, learning paths and courses authored by industry experts, our platform helps individuals benchmark expertise across roles. Our mission is to train the worlds workforce in the careers of the future. We partner with leading technology companies to learn how technology is transforming industries, and teach the critical tech skills that companies are looking for in their workforce.",
Dataforce,,SG,"Dataforce - AI Powered Customer Intelligence & Competitor Intelligence Platform

Dataforce, an AI-Powered Customer Intelligence & Competitor Intelligence platform for Simplified Marketing Campaign Data management. Dataforce provides an easy-to-use portal for accessing sales and marketing campaign data and competitor knowledge, allowing users to quickly access, clean, enrich, and monitor their prospecting data for a complete view of the prospects. The data analytics features Buyer Intent, which enables B2B marketing and sales teams to unmask sales trigger events and early-stage buying signals from companies in the market to buy. 

Partner with Dataforce to avail prospects data for your upcoming Marketing, ABM and Demand Generation campaigns.",
Cosmofeed,,IN,Cosmofeed is a platform offering a suite of products for the creators enabling them to monetize both bits & full offering of their content across their audiences while building deeper engagement in communities. The unique creator-first approach in product building has allowed Cosmofeed to be a platform that solves all the inherent problems of the creator workflow and distribution.,
CoverSelf,IT Services and IT Consulting,US,"CoverSelf empowers payers with a truly NEXT-GEN cloud-native, holistic & customizable platform preventing and adapting to the ever-evolving claims & payment inaccuracies. Reduce complexity and administrative costs with a unified healthcare dedicated platform.

Built from the ground up specifically for healthcare to simplify, democratize and transform the payment integrity industry

Take control of your Payment Integrity program today. 

We've done it, so you don't have to!",
